# #GHz real imag
5.000000000000000000e+01 7.138575954215739539e-02 1.626254571602841759e-01
5.001250000000000284e+01 1.068527639201903301e-01 1.324561674548629109e-01
5.002499999999999858e+01 1.337341856185201017e-01 9.465649063661513152e-02
5.003750000000000142e+01 1.500507890278137690e-01 5.152739956771288515e-02
5.004999999999999716e+01 1.547034405310535043e-01 6.065089985512733123e-03
5.006250000000000000e+01 1.474473762876309380e-01 -3.833067438069256982e-02
5.007500000000000284e+01 1.294856499759115820e-01 -7.867134234556449890e-02
5.008749999999999858e+01 1.021782860258839687e-01 -1.126432145570071541e-01
5.010000000000000142e+01 6.742556904014107566e-02 -1.380794105599494614e-01
5.011249999999999716e+01 2.865032395212106786e-02 -1.525728379784280220e-01
5.012500000000000000e+01 -1.215170494635769115e-02 -1.562787014320763390e-01
5.013750000000000284e+01 -5.334259626908162411e-02 -1.504805580910965057e-01
5.014999999999999858e+01 -9.023382779544703025e-02 -1.339209722726103224e-01
5.016250000000000142e+01 -1.207449976339168424e-01 -1.089428121423465234e-01
5.017499999999999716e+01 -1.435317527166022067e-01 -7.714049826118180020e-02
5.018750000000000000e+01 -1.567446768679477964e-01 -4.073844405480536723e-02
5.020000000000000284e+01 -1.596779443503936191e-01 -2.919671048114916116e-03
5.021249999999999858e+01 -1.529910915705403607e-01 3.392011726454448317e-02
5.022500000000000142e+01 -1.372937227204640009e-01 6.765817062253876024e-02
5.023749999999999716e+01 -1.133622178849294643e-01 9.612792585311902283e-02
5.025000000000000000e+01 -8.279678439151011426e-02 1.171330225960461879e-01
5.026250000000000284e+01 -4.778920960634883836e-02 1.293331989096976053e-01
5.027499999999999858e+01 -1.097219390971629002e-02 1.318425574175648707e-01
5.028750000000000142e+01 2.499093583433250471e-02 1.248869077309424092e-01
5.029999999999999716e+01 5.812318529049980559e-02 1.090707635303549694e-01
5.031250000000000000e+01 8.617897847979424930e-02 8.478434317648220198e-02
5.032500000000000284e+01 1.068656734842468592e-01 5.383144919613478546e-02
5.033749999999999858e+01 1.185261453156711414e-01 1.878862911356211918e-02
5.035000000000000142e+01 1.208537276408764571e-01 -1.786652371973117617e-02
5.036249999999999716e+01 1.136521725244109826e-01 -5.395760794022377849e-02
5.037500000000000000e+01 9.747335314890537283e-02 -8.717518715972012722e-02
5.038750000000000284e+01 7.309487038610264220e-02 -1.150796527988899864e-01
5.039999999999999858e+01 4.243766320196575015e-02 -1.354926646294611070e-01
5.041250000000000142e+01 7.883408097327090566e-03 -1.470367896103468852e-01
5.042499999999999716e+01 -2.807691400550312022e-02 -1.496905591237038535e-01
5.043750000000000000e+01 -6.348387189581954082e-02 -1.432030784630160258e-01
5.045000000000000284e+01 -9.603988451979485197e-02 -1.279427468133095547e-01
5.046249999999999858e+01 -1.232503226573838373e-01 -1.047751283045064014e-01
5.047500000000000142e+01 -1.435699644923569551e-01 -7.557934245263345230e-02
5.048749999999999716e+01 -1.558088703025653221e-01 -4.285554136209042408e-02
5.050000000000000000e+01 -1.589633628539530996e-01 -9.775734248191017550e-03
5.051250000000000284e+01 -1.537127173219332288e-01 2.312656742790543049e-02
5.052499999999999858e+01 -1.403180234778678426e-01 5.396361016121550835e-02
5.053750000000000142e+01 -1.194813708063335311e-01 7.986225442596234236e-02
5.054999999999999716e+01 -9.315525007539621205e-02 9.916132414603628931e-02
5.056250000000000000e+01 -6.329968170298719277e-02 1.110506331995018137e-01
5.057500000000000284e+01 -3.151644035506256242e-02 1.149717452423303643e-01
5.058749999999999858e+01 1.087177505206244179e-04 1.103163241103508468e-01
5.060000000000000142e+01 2.902657419001698769e-02 9.724876796085751840e-02
5.061249999999999716e+01 5.286335825048751880e-02 7.706443321719079476e-02
5.062500000000000000e+01 7.022050346646979690e-02 5.161630548883203856e-02
5.063750000000000284e+01 8.012559464720495073e-02 2.267298296095011934e-02
5.064999999999999858e+01 8.186533477774360357e-02 -8.016119831215409372e-03
5.066250000000000142e+01 7.491305167439103740e-02 -3.804880337720763922e-02
5.067499999999999716e+01 5.975396339344296592e-02 -6.483567754254584981e-02
5.068750000000000000e+01 3.789507160107438016e-02 -8.625013626735147931e-02
5.070000000000000284e+01 1.111829382980706986e-02 -1.008733629835415341e-01
5.071249999999999858e+01 -1.879050496122279881e-02 -1.078626081183355762e-01
5.072500000000000142e+01 -5.003795914044001369e-02 -1.064763031650776126e-01
5.073749999999999716e+01 -8.010951866590831916e-02 -9.632307252606391035e-02
5.075000000000000000e+01 -1.063706621519673323e-01 -7.818698551890704285e-02
5.076250000000000284e+01 -1.270952197289038077e-01 -5.361741490570995361e-02
5.077499999999999858e+01 -1.409379504013555662e-01 -2.425814990990345088e-02
5.078750000000000142e+01 -1.471081122552589937e-01 8.440129567037015640e-03
5.079999999999999716e+01 -1.445331035677460685e-01 4.238948051019535840e-02
5.081250000000000000e+01 -1.330077804869018998e-01 7.529405925106832931e-02
5.082500000000000284e+01 -1.131554646884864596e-01 1.044453274602116233e-01
5.083749999999999858e+01 -8.638236328116932761e-02 1.282305744950164028e-01
5.085000000000000142e+01 -5.421295234861627649e-02 1.451644182153039586e-01
5.086249999999999716e+01 -1.805523134630691168e-02 1.540255183930823168e-01
5.087500000000000000e+01 2.016222145817662958e-02 1.536338084617006883e-01
5.088750000000000284e+01 5.781585604179310250e-02 1.436866358266250809e-01
5.089999999999999858e+01 9.232857987479120565e-02 1.250340744038898055e-01
5.091250000000000142e+01 1.218734132379904883e-01 9.841017284871628190e-02
5.092499999999999716e+01 1.447707067961620242e-01 6.492490050971909399e-02
5.093750000000000000e+01 1.592691626428500706e-01 2.613668796018106186e-02
5.095000000000000284e+01 1.639029098357664138e-01 -1.536236530840159355e-02
5.096249999999999858e+01 1.585316578114014108e-01 -5.684499303414625171e-02
5.097500000000000142e+01 1.437104225608026586e-01 -9.618360145389023841e-02
5.098749999999999716e+01 1.199761465536128280e-01 -1.312143073197819809e-01
5.100000000000000000e+01 8.853378969042807745e-02 -1.597871373389521121e-01
5.101250000000000284e+01 5.099738108911101853e-02 -1.802831055984635833e-01
5.102499999999999858e+01 9.953483031416993088e-03 -1.912261809011657210e-01
5.103750000000000142e+01 -3.208415960043657644e-02 -1.923203780377907846e-01
5.104999999999999716e+01 -7.276706449608048854e-02 -1.840444565647716135e-01
5.106250000000000000e+01 -1.106656243372644843e-01 -1.666596360339884786e-01
5.107500000000000284e+01 -1.431660776699464066e-01 -1.410177953804704065e-01
5.108749999999999858e+01 -1.684181295961776903e-01 -1.087228282478768931e-01
5.110000000000000142e+01 -1.850741843636155570e-01 -7.205672919066530291e-02
5.111249999999999716e+01 -1.928769224268893356e-01 -3.330276385902187358e-02
5.112500000000000000e+01 -1.917168579472634249e-01 5.867289795598717474e-03
5.113750000000000284e+01 -1.814605429602043352e-01 4.341062314288533786e-02
5.114999999999999858e+01 -1.629781012799089157e-01 7.700240734814990662e-02
5.116250000000000142e+01 -1.374476886768710715e-01 1.047271576875337395e-01
5.117499999999999716e+01 -1.066747989946896652e-01 1.252221047131497900e-01
5.118750000000000000e+01 -7.251332679947192217e-02 1.377809201860377974e-01
5.120000000000000284e+01 -3.663050230451585232e-02 1.415887237357360273e-01
5.121249999999999858e+01 -1.484994756994828481e-03 1.364155554710372031e-01
5.122500000000000142e+01 3.065207876006224852e-02 1.228940463398109917e-01
5.123749999999999716e+01 5.801524092759256096e-02 1.021855225297447767e-01
5.125000000000000000e+01 7.889568873254015902e-02 7.583299721350852951e-02
5.126250000000000284e+01 9.241517348582864444e-02 4.549892797421178914e-02
5.127499999999999858e+01 9.755867202445069053e-02 1.300824089547183288e-02
5.128750000000000142e+01 9.388071779538573192e-02 -1.933347876923742145e-02
5.129999999999999716e+01 8.206640520463642785e-02 -4.883619840597912265e-02
5.131250000000000000e+01 6.352706503906595248e-02 -7.396385902444971294e-02
5.132500000000000284e+01 3.943512280194860081e-02 -9.332919165357365932e-02
5.133749999999999858e+01 1.124844979503418149e-02 -1.056926273503602937e-01
5.135000000000000142e+01 -1.908839117715299336e-02 -1.101737395298683642e-01
5.136249999999999716e+01 -4.940432611030623478e-02 -1.065077283794355900e-01
5.137500000000000000e+01 -7.736034791896526097e-02 -9.513545098567686986e-02
5.138750000000000284e+01 -1.012006343164772171e-01 -7.701034985086273321e-02
